178;2345101;Alvorada;RS
179;231914;Alvorada;TO
180;50404;Alvorada de Minas;MG
181;59265;Alvorada do Gurguéia;PI
182;108906;Alvorada do Norte;GO
183;224475;Alvorada do Sul;PR
184;221056;Alvorada D'Oeste;RO
185;133941;Amajari;RR
186;784670;Amambai;MS
187;133948;Amapá;AP
188;39247;Amapá do Maranhão;MA
189;89963;Amaporã;PR
190;168617;Amaraji;PE
191;86263;Amaral Ferrador;RS
192;50756;Amaralina;GO
193;119657;Amarante;PI
194;252247;Amarante do Maranhão;MA
195;316574;Amargosa;BA
196;66408;Amaturá;AM
197;264509;Amélia Rodrigues;BA
198;103780;América Dourada;BA
199;10101729;Americana;SP
200;73403;Americano do Brasil;GO
201;743189;Américo Brasiliense;SP
202;84601;Américo de Campos;SP
203;87036;Ametista do Sul;RS
204;318872;Amontada;CE
205;53354;Amorinópolis;GO
206;20246;Amparo;PB
207;3608997;Amparo;SP
208;27141;Amparo de São Francisco;SE
209;41506;Amparo do Serra;MG
210;488292;Ampére;PR
211;125026;Anadia;AL
212;157280;Anagé;BA
213;72146;Anahy;PR
214;177632;Anajás;PA
215;141217;Anajatuba;MA
216;128672;Analândia;SP
217;83576;Anamã;AM
218;90913;Ananás;TO
219;6236496;Ananindeua;PA
220;13301497;Anápolis;GO
221;303230;Anapu;PA
222;105998;Anapurus;MA
223;394230;Anastácio;MS
224;184053;Anaurilândia;MS
225;2758914;Anchieta;ES
226;119432;Anchieta;SC
227;88313;Andaraí;BA
228;599548;Andirá;PR
229;135677;Andorinha;BA
230;785159;Andradas;MG
231;2057927;Andradina;SP
232;106101;André da Rocha;RS
233;184019;Andrelândia;MG
234;871229;Angatuba;SP
235;67620;Angelândia;MG
236;538032;Angélica;MS
237;94043;Angelim;PE
238;103063;Angelina;SC
239;126413;Angical;BA
240;46592;Angical do Piauí;PI
241;41562;Angico;TO
242;107329;Angicos;RN
243;7663878;Angra dos Reis;RJ
244;60984;Anguera;BA
245;81924;Ângulo;PR
246;16119;Anhanguera;GO
247;99084;Anhembi;SP
248;58874;Anhumas;SP
249;363644;Anicuns;GO
250;61502;Anísio de Abreu;PI
251;116452;Anita Garibaldi;SC
252;52391;Anitápolis;SC
253;154516;Anori;AM
254;175180;Anta Gorda;RS
255;99466;Antas;BA
256;384240;Antonina;PR
257;47831;Antonina do Norte;CE
258;52134;Antônio Almeida;PI
259;97966;Antônio Cardoso;BA
260;125297;Antônio Carlos;MG
261;566440;Antônio Carlos;SC
262;152683;Antônio Dias;MG
263;63868;Antônio Gonçalves;BA
264;191645;Antônio João;MS
265;45892;Antônio Martins;RN
266;161897;Antônio Olinto;PR
267;480886;Antônio Prado;RS
268;19627;Antônio Prado de Minas;MG
269;70309;Aparecida;PB
270;929139;Aparecida;SP
271;11518675;Aparecida de Goiânia;GO
272;69456;Aparecida do Rio Doce;GO
273;71235;Aparecida do Rio Negro;TO
274;801610;Aparecida do Taboado;MS
275;87305;Aparecida d'Oeste;SP
276;155695;Aperibé;RJ
277;80656;Apiacá;ES
278;134126;Apiacás;MT
279;760318;Apiaí;SP
280;91160;Apicum-Açu;MA
281;414328;Apiúna;SC
282;423106;Apodi;RN
283;111560;Aporá;BA
284;234157;Aporé;GO
285;57183;Apuarema;BA
286;2905716;Apucarana;PR
287;205220;Apuí;AM
288;86830;Apuiarés;CE
289;205983;Aquidabã;SE
290;807376;Aquidauana;MS
291;1826728;Aquiraz;CE
292;105299;Arabutã;SC
293;137067;Araçagi;PB
294;38681;Araçaí;MG
295;15672677;Aracaju;SE
296;1693232;Araçariguama;SP
297;262627;Araçás;BA
298;1162090;Aracati;CE
299;85839;Aracatu;BA
300;6235918;Araçatuba;SP
301;367987;Araci;BA
302;20026;Aracitaba;MG
303;175654;Aracoiaba;CE
304;114628;Araçoiaba;PE
305;577420;Araçoiaba da Serra;SP
306;5312677;Aracruz;ES
307;47272;Araçu;GO
308;363724;Araçuaí;MG
309;213006;Aragarças;GO
310;98799;Aragoiânia;GO
311;58593;Aragominas;TO
312;74756;Araguacema;TO
313;157989;Araguaçu;TO
314;62944;Araguaiana;MT
315;3442024;Araguaína;TO
316;16951;Araguainha;MT
317;63711;Araguanã;MA
318;58911;Araguanã;TO
319;115917;Araguapaz;GO
320;3696961;Araguari;MG
321;329834;Araguatins;TO
322;217759;Araioses;MA
323;457096;Aral Moreira;MS
324;74282;Aramari;BA
325;130019;Arambaré;RS
326;180643;Arame;MA
327;112473;Aramina;SP
