100;Alcobaça;BA;0.608;0.611;0.771;0.476
101;Aldeias Altas;MA;0.513;0.500;0.720;0.374
102;Alecrim;RS;0.672;0.683;0.852;0.522
103;Alegre;ES;0.721;0.708;0.839;0.630
104;Alegrete;RS;0.740;0.720;0.849;0.664
105;Alegrete do Piauí;PI;0.585;0.564;0.749;0.475
106;Alegria;RS;0.695;0.717;0.818;0.572
107;Além Paraíba;MG;0.726;0.713;0.857;0.626
108;Alenquer;PA;0.564;0.529;0.779;0.436
109;Alexandria;RN;0.606;0.581;0.779;0.491
110;Alexânia;GO;0.682;0.664;0.841;0.568
111;Alfenas;MG;0.761;0.737;0.841;0.712
112;Alfredo Chaves;ES;0.710;0.703;0.832;0.611
113;Alfredo Marcondes;SP;0.741;0.682;0.840;0.710
114;Alfredo Vasconcelos;MG;0.675;0.629;0.834;0.587
115;Alfredo Wagner;SC;0.668;0.702;0.882;0.481
116;Algodão de Jandaíra;PB;0.548;0.532;0.749;0.413
117;Alhandra;PB;0.582;0.544;0.778;0.465
118;Aliança;PE;0.604;0.565;0.799;0.488
119;Aliança do Tocantins;TO;0.663;0.610;0.801;0.596
120;Almadina;BA;0.563;0.563;0.751;0.421
121;Almas;TO;0.636;0.616;0.796;0.524
122;Almeirim;PA;0.642;0.659;0.809;0.497
123;Almenara;MG;0.642;0.636;0.803;0.518
124;Almino Afonso;RN;0.624;0.578;0.739;0.568
125;Almirante Tamandaré;PR;0.699;0.706;0.840;0.575
126;Almirante Tamandaré do Sul;RS;0.740;0.732;0.828;0.669
127;Aloândia;GO;0.697;0.694;0.834;0.585
128;Alpercata;MG;0.646;0.629;0.824;0.521
129;Alpestre;RS;0.671;0.700;0.795;0.543
130;Alpinópolis;MG;0.725;0.703;0.862;0.629
131;Alta Floresta;MT;0.714;0.709;0.817;0.629
132;Alta Floresta D'Oeste;RO;0.641;0.657;0.763;0.526
133;Altair;SP;0.687;0.698;0.800;0.581
134;Altamira;PA;0.665;0.662;0.811;0.548
135;Altamira do Maranhão;MA;0.549;0.486;0.719;0.473
136;Altamira do Paraná;PR;0.667;0.667;0.780;0.571
137;Altaneira;CE;0.602;0.547;0.774;0.515
138;Alterosa;MG;0.668;0.657;0.847;0.536
139;Altinho;PE;0.598;0.559;0.792;0.482
140;Altinópolis;SP;0.730;0.726;0.843;0.635
141;Alto Alegre;RR;0.542;0.518;0.813;0.379
142;Alto Alegre;RS;0.747;0.756;0.859;0.642
143;Alto Alegre;SP;0.700;0.683;0.817;0.616
144;Alto Alegre do Maranhão;MA;0.554;0.516;0.744;0.444
145;Alto Alegre do Pindaré;MA;0.558;0.465;0.774;0.483
146;Alto Alegre dos Parecis;RO;0.592;0.603;0.777;0.443
147;Alto Araguaia;MT;0.704;0.712;0.802;0.612
148;Alto Bela Vista;SC;0.755;0.734;0.882;0.664
149;Alto Boa Vista;MT;0.651;0.613;0.803;0.561
150;Alto Caparaó;MG;0.661;0.666;0.842;0.514
151;Alto do Rodrigues;RN;0.672;0.647;0.800;0.585
152;Alto Feliz;RS;0.734;0.740;0.886;0.603
153;Alto Garças;MT;0.701;0.707;0.835;0.583
154;Alto Horizonte;GO;0.719;0.709;0.841;0.624
155;Alto Jequitibá;MG;0.660;0.660;0.787;0.554
156;Alto Longá;PI;0.585;0.567;0.751;0.470
157;Alto Paraguai;MT;0.638;0.612;0.784;0.541
158;Alto Paraíso;PR;0.678;0.677;0.829;0.556
159;Alto Paraíso;RO;0.625;0.664;0.804;0.457
160;Alto Paraíso de Goiás;GO;0.713;0.723;0.819;0.611
161;Alto Paraná;PR;0.696;0.679;0.846;0.587
162;Alto Parnaíba;MA;0.633;0.683;0.785;0.474
163;Alto Piquiri;PR;0.676;0.669;0.798;0.578
164;Alto Rio Doce;MG;0.620;0.595;0.828;0.483
165;Alto Rio Novo;ES;0.664;0.634;0.815;0.567
166;Alto Santo;CE;0.601;0.563;0.774;0.499
